timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/29 13:14:09.153, 89, 32, 5378, 81920, 139.97
2026/04/29 13:14:10.154, 70, 2, 5378, 81920, 127.81
2026/04/29 13:14:11.155, 38, 3, 5378, 81920, 137.02
2026/04/29 13:14:12.156, 33, 5, 5378, 81920, 141.58
2026/04/29 13:14:13.156, 21, 8, 5378, 81920, 323.84
2026/04/29 13:14:14.157, 56, 21, 5378, 81920, 150.92
2026/04/29 13:14:15.158, 50, 12, 5378, 81920, 139.37
2026/04/29 13:14:16.158, 24, 1, 5378, 81920, 187.42
2026/04/29 13:14:17.159, 92, 16, 5378, 81920, 132.23
2026/04/29 13:14:18.160, 42, 10, 5378, 81920, 176.47
2026/04/29 13:14:19.160, 23, 1, 5378, 81920, 282.91
2026/04/29 13:14:20.161, 9, 4, 5378, 81920, 320.84
2026/04/29 13:14:21.161, 91, 28, 5378, 81920, 143.24
2026/04/29 13:14:22.162, 67, 2, 5378, 81920, 121.13
2026/04/29 13:14:23.163, 42, 3, 5378, 81920, 120.41
2026/04/29 13:14:24.164, 24, 6, 5378, 81920, 128.82
2026/04/29 13:14:25.164, 29, 8, 5378, 81920, 299.23
2026/04/29 13:14:26.165, 91, 20, 5378, 81920, 137.57
2026/04/29 13:14:27.166, 67, 2, 5378, 81920, 146.18
2026/04/29 13:14:28.166, 59, 7, 5378, 81920, 233.40
2026/04/29 13:14:29.167, 45, 8, 5378, 81920, 280.86
2026/04/29 13:14:30.168, 91, 27, 5378, 81920, 177.61
2026/04/29 13:14:31.171, 61, 14, 5378, 81920, 150.80
2026/04/29 13:14:32.171, 39, 2, 5378, 81920, 141.17
2026/04/29 13:14:33.172, 60, 19, 5378, 81920, 137.17
2026/04/29 13:14:34.173, 91, 14, 5378, 81920, 124.35
2026/04/29 13:14:35.173, 72, 5, 5378, 81920, 177.53
2026/04/29 13:14:36.174, 34, 2, 5378, 81920, 323.84
2026/04/29 13:14:37.175, 66, 11, 5378, 81920, 120.54
2026/04/29 13:14:38.175, 21, 9, 5378, 81920, 154.51
2026/04/29 13:14:39.176, 27, 8, 5378, 81920, 174.95
2026/04/29 13:14:40.177, 50, 15, 5378, 81920, 134.77
2026/04/29 13:14:41.177, 35, 7, 5378, 81920, 156.85
2026/04/29 13:14:42.178, 88, 11, 5378, 81920, 131.22
2026/04/29 13:14:43.178, 60, 11, 5378, 81920, 121.13
2026/04/29 13:14:44.180, 42, 1, 5378, 81920, 201.64
2026/04/29 13:14:45.180, 68, 11, 5378, 81920, 322.37
2026/04/29 13:14:46.181, 40, 7, 5378, 81920, 151.84
2026/04/29 13:14:47.181, 19, 5, 5378, 81920, 132.97
2026/04/29 13:14:48.182, 43, 1, 5378, 81920, 149.17
2026/04/29 13:14:49.183, 97, 22, 5378, 81920, 225.07
2026/04/29 13:14:50.183, 48, 12, 5378, 81920, 127.81
2026/04/29 13:14:51.184, 41, 2, 5378, 81920, 268.43
2026/04/29 13:14:52.185, 18, 7, 5378, 81920, 142.91
2026/04/29 13:14:53.186, 72, 10, 5378, 81920, 162.80
2026/04/29 13:14:54.187, 41, 13, 5378, 81920, 120.54
